unique_id,session_duration,download_speed,upload_speed,consumed_traffic
9c49f1d9-8a30-4d79-88b4-66d9a4a437ee,14791,629,547,582781
78084449-ce87-4b18-9846-a4f560510ea7,4304,493,268,1741659
f691e314-b6ef-4c45-8840-e05a251c14c4,4554,257,580,281761
9f95a829-079f-44d9-a708-6dd6f0c0932c,15840,788,409,1417322
bb63bef2-8907-4dbf-9734-af7bc4b3055e,14815,18,756,1383967
18ea5068-63fa-4164-a31d-a98cec21344b,8884,335,292,1050162
cc2dfdb9-02cd-4990-a224-8986782ce2f0,370,775,469,1165636
59765bdd-fb64-4f58-b711-fd6a34157a8b,23352,202,176,853753
f4be8c13-6306-4dd8-aa33-6351e57d6adc,18036,586,80,894050
98fbb3be-b47c-4a81-8353-5340a0914b8c,28450,291,631,1302886
1185c2e0-dc7e-4687-a5aa-7145414f1070,31483,753,450,756994
8da48d3c-fa57-431d-9259-e1bd6828c5a3,12615,271,546,1703619
9754bcc4-1e1f-4394-82b1-6771ca0a0fa5,28571,790,731,1682658
45d352b2-825c-4dc8-85d1-2795089ac7e1,328,923,706,1481685
e5c198d8-9762-4197-bc18-5dee9682ad57,4654,716,443,1360297
4d1f482c-eb38-45e9-a3fa-947a2b18ebb4,20309,798,701,1505786
df15e89c-097d-4cbb-94ab-8edb8d9d9418,166,269,457,744590
1174cf31-4bf0-4251-abaa-ea9a02d33bf1,23569,860,624,1824
d389c889-4c39-442f-af48-2755e79e892f,15829,702,784,300625
9ba81ccb-9308-4289-84f1-2dac5db781c0,18019,298,664,1353792
eb2cdaa0-33d0-43c0-8db0-253834a1db2e,24493,753,311,865240
bc3bd469-5d48-4362-ba30-c3ab029b183f,5341,131,106,144934
6b0c6130-0ca8-4ec1-8112-c1b693b090d8,13590,25,173,1649067
6f55d3bd-be42-4d6b-8bdf-723ce0d69f46,31074,705,350,449265
2896cdd5-1ee4-48e4-924e-ab14c6ea65d5,16562,245,162,1987563
951a63be-c01d-4f58-9189-3a53260fe5a4,25987,925,33,1131824
11a5c5db-60a2-4370-82d0-289f99ff1316,32938,839,59,856284
abaabe2f-fc80-4b3b-833a-b53791bf2cec,13693,31,296,219008
00bd3a95-98ba-4d85-8554-a3e086318311,26000,265,420,74934
02b01c2c-c8e1-4f45-94c7-c4e3617c40c0,3971,373,107,1334141
7d93f138-8e68-4000-b1df-d1f982a9f7b0,3866,969,278,754191
3b837bd2-b4ad-4e4c-8dab-b098d71f69fd,612,520,87,970728
79ba21bd-8162-42c2-8ec5-8aaafcf00fd5,33303,636,762,1387707
935aec65-9663-40b6-8135-c3881f4d5af3,9066,243,781,628643
3af586b7-b212-4926-a342-3582219aea0b,18039,452,686,740930
8c2e695b-3e6d-4988-ae1c-b3ec60ebcd8c,17002,123,495,1318887
52f46005-9a94-49e7-9a05-089313b5e517,14341,688,621,889657
